구분,유저,챗봇,
감정/불안감,이제 곧 고3인데 너무 불안해.,,
감정/불안감,어쩌다 붙잡혀서 전단이라도 받게 되면 나한테 뭔가 나쁜 일이 생길 것 같이 불안했어요.,,
감정/불안감,오전 내내 불안해서 일을 못하겠는거예요.,,
감정/불안감,일은 어떻게 무마됐는데 그 이후로 맨날 너무 불안해.,,
감정/불안감,근데 집 와서 생각해보니까 갑자기 막 불안해지는 거예요.,,
감정/불안감,근데 그렇게 안 하면 불안해서 견딜 수가 없어요.,,
감정/불안감,그렇지 않으면 뭔가 찝찝하고 불안하거든.,,
감정/불안감,근데 쉽지 않은 것 같아요. 요즘 자꾸 너무 불안해져요.,,
감정/불안감,주변에서 괜찮다고 아무 일 없다고 하는데 저는 계속 불안했어요.,,
감정/불안감,평소에도 좀 평소랑 다른 일이 있으면 금방 불안해지는 편이거든?,,
감정/불안감,그때부터 조금씩 불안해지더라고요.,,
감정/불안감,매일매일 마음이 조마조마해.,,
감정/불안감,어떤 돌발상황이 발생할지 모르니까 너무 불안해요.,,
감정/불안감,발이 허공에 떠 있는 거 같아요.,,
감정/불안감,불안불안 위태위태해요.,,
감정/불안감,불안감이 사라지질 않아요.,,
감정/불안감,그런데 저는 왜 안심이 안 될까요?,,
감정/불안감,하루에도 몇 번씩 미치게 불안해.,,
감정/불안감,마음에 평안이 왔으면 좋겠다…,,
감정/불안감,마음에 평화가 찾아오면 좋겠다.,,
감정/불안감,마음이 고요하고 차분해졌으면 좋겠어.,,
감정/불안감,어떻게 하면 이 불안감이 사라질까요?,,
감정/불안감,걔를 보면 내가 불안해져.,,
감정/불안감,항상 흔들다리 건너는 거처럼 발 아래가 불안해.,,
감정/불안감,안심이 안 된다…,,
감정/불안감,너무 불안해서 일을 할 수가 없어.,,
감정/불안감,10분정도 갇혀있었는데…패닉상태였어요.,,
감정/불안감,오늘은 자다 일어났는데 머리를 벽에 박고 싶을 만큼 불안했어요.,,
감정/불안감,마음이 편하지 않고 조마조마해.,,
감정/불안감,근데 안 먹으면 참을 수가 없어. 너무 불안해서 견딜 수가 없거든.,,
감정/불안감,어쨌든 괜찮아져서 이제는 좀 잘 자는데 사실 그래도 좀 불안해.,,
감정/불안감,담임이 엄마한테 전화를 할 수도 있는 거고 그래서 불안했어요.,,
감정/불안감,안 뽑으려고 해도 안 뽑으면 오히려 더 불안해져서…,,
감정/불안감,그러고 나서 그 날 밤부터 너무 불안한 거야.,,
감정/불안감,요즘 너무 불안해요. 불안해서 미쳐버릴 것 같아요.,,
감정/불안감,근데 뭔가 되게 찝찝한 거예요. 안 됐는데 됐다고 하는 거 아닐까 싶어서…,,
감정/불안감,그 사고 후부터 하루종일 너무 불안해요.,,
감정/불안감,근데 그 후부터 하루종일 너무 불안해요.,,
감정/불안감,그렇게 잠긴 걸 봐도 금방 또 다시 불안해져요.,,
감정/불안감,그러다 보니까 그냥 길을 걸어가는 것만 해도 불안해져.,,
감정/불안감,막 엄청 불안한 건 아닌데 항상 조금씩? 잔잔하게 불안하더라고.,,
감정/불안감,이게 약간 내 몸에 익숙해져서 나중에는 이 불안함이 디폴트가 되는 게 아닐까?,,
감정/불안감,불안해요.,,
감정/불안감,이상하게 불안하고.,,
감정/불안감,"너무 불안한데, 제가 잘못 되는 건 아니겠죠?",,
감정/불안감,증상이 더 악화되는 것 같아요.. 불안해요..,,
감정/불안감,갑자기 너무 이상하잖아.. 검사를 받아야 할 것 같았어.,,
감정/불안감,몸에 없으면 금방 불안해져.,,
감정/불안감,내가 생각해도 요즘 내가 이상한 것 같아서 그런지 좀 불안해.,,
감정/불안감,휴교하는 동안 집에서 쉬느라 좋긴 좋았는데 한편으론 불안한 거야.,,
감정/불안감,누워 있는 와중에도 계속 그 생각 들어서 불안한 마음으로 쉬었어.,,
감정/불안감,그래서 그런지 뭔가 불안한 마음이 되게 커졌어요.,,
감정/불안감,어쩔 수 없다고 생각은 하면서도 그래도 불안한 건 어쩔 수가 없더라.,,
감정/불안감,근데 이제 와서 다시 될까 싶고 너무 불안한 거예요.,,
감정/불안감,근데 지난 번에 학교 가려고 셔틀을 탔는데 갑자기 엄청 불안한 거예요.,,
감정/불안감,엄마한테 걸릴까봐 좀 불안하긴 해.,,
감정/불안감/긴장,크게 못 느끼고 있었는데 막상 그 얘길 들으니까 더 불안하고 긴장되는 느낌이었어.,그 기분 이해해요. 불안을 없애는 건 정말 어려운 일이죠.,
감정/불안감/긴장,평소 때도 늘 불안하고 떨려.,정말 힘들 것 같아요. 늘 불안과 싸우는 느낌이겠어요.,
감정/불안감/긴장,늘상 불안하고 떨려.,불안을 느끼지 않는 사람이 얼마나 될까요? 너무 걱정 마세요.,
감정/불안감/긴장,평소에도 불안하고 떨려요.,,
감정/불안감/긴장,항상 불안하고…옆에 사람이 없으면 긴장을 심하게 해요.,,
감정/불안감/미래,"슬슬 결혼도 해야 하는데, 어떻게 먹고 살아야 하나 가끔 그런 생각이 들 때가 있어요.",유비무환이라고 하죠? 미리 대비해놓으면 괜찮을 거예요.,
감정/불안감/미래,나중 일 생각하면 불안해요.,"미래에 대한 안 좋은 상상이 드셨군요. 시간이 지나면 상황도 변할 테니, 그때는 그때의 해결책이 있을 거예요.",
감정/불안감/미래,가끔 앞날 생각하면 불안하긴 해요.,"앞으로 무슨 일이 일어날지 불안하다면, 한번 적어보는 것도 나쁘지 않은 방법이에요. 첫 번째는 뭔가요?",
감정/불안감/미래,몇 년 전부터 세무사 시험 준비 중인데…시험에 한번 떨어지고부터 자신감도 없어지고…불안감이 생긴것 같아요.,,
감정/불안감/미래,그래서 그런지 모르겠는데 항상 미래에 대한 불안한 생각이 있었어.,,
감정/불안감/미래,내 미래는 앞으로 어떻게 되나 불안하기도 하고…,,
감정/불안감/증상재발,어떨 때는 들리고 어떨 때는 괜찮으니까… 언제 그런 증상이 나타날까 불안해.,불안한 마음이 드는 게 당연해요! 하지만 미리 걱정하는 건 자신을 더 힘들게 만들 뿐이에요.,
감정/불안감/증상재발,증상이 1~2일에 한번씩 반복됐어요. 언제 나타날지 모르는 증상 때문에 너무 불안했어요. ,미리 비상연락망 같은 걸 만드는 것도 좋은 방법인 것 같아요.,
감정/불안감/증상재발,"다시 공황 증상이 올까봐 불안하긴 했는데, 버스를 아예 못 타는 건 아니야.",주변에 당신의 상황을 알리고 도움을 청하는 게 좋겠어요.,
감정/불안감/증상재발,또 그럴까 봐 너무 불안해.,꾸준히 치료를 받으면 분명 완치할 수 있어요. 너무 불안해 마세요.,
감정/불안감/증상재발,또 사람 많은 곳에서 발작이 일어나면 어떡하지?,,
감정/불안감/증상재발,언제 발작이 일어날지 모르니까 너무 불안해요.,,
감정/불안감/증상재발,이후에 2번 더 증상이 나타났는데 또 그럴까 봐 너무 불안하네요.,,
감정/불안감/증상재발,이게 언제 어디에서 다시 나타날지 모르겠어서 너무 불안했어요.,,
감정/불안감/초조함,너무 불안하고 초조해서 잠이 올 생각을 안해..,마사지가 초조함을 없애는 데에 도움을 준다고 해요. ,
감정/불안감/초조함,하루종일 불안하고 초조해.,"""행복의 장소""를 하나 만들어서, 불안할 때 꺼내어 보는 것도 좋은 방법이에요.",
감정/불안감/초조함,불안하고 초조한 느낌이 늘 베이스로 깔려 있는 거 같아.,그럴 때는 미지근한 물을 한 잔 드셔보세요. 조금 나아질 거예요.,
감정/불안감/초조함,너무 불안하고 초조해서 잠이 올 생각을 안 해..,,
감정/불안감/초조함,불안하기도 하고 초조하기도 해요.,,
감정/불쾌감,아파서 그런지 자주 불쾌해져요.,그 기분 저도 이해해요. 지금은 조금 나아지신 건가요?,
감정/불쾌감,다들 표정이 무섭고 딱딱해서 싫어.,그 불쾌한 기억을 제가 없애드릴 수 있으면 좋겠어요.,
감정/불쾌감,진짜 지질하지? 남자한텐 아무 말도 못 하고 여자나 패고…,따뜻한 음료를 마시면 기분이 나아질까요? 어때요?,
감정/불쾌감,아무튼 그래서 해봤는데 별로 기분이 좋진 않더라. 좀 불쾌했어.,,
감정/불쾌감,다른 사람은 기분 나빠하지 않는 것도 저는 보면 되게 불쾌해요.,,
감정/불쾌감,그때 생각하면 진절머리가 나.,,
감정/불쾌감,"깜빡했다고 말해서 아, 알겠다고 표정 관리는 했어.",,
감정/불쾌감,정말 기가 막히고 어이가 없어요.,,
감정/불쾌감,불쾌한 기분이 자꾸 들어.,,
감정/불쾌감,정말 끔찍한 순간이었어.,,
감정/불쾌감,아침에 일어나면 항상 기분이 더러워.,,
감정/불쾌감,밖에서 다른 여자 만지던 손으로 절 만질 때마다 너무 소름 끼치는 거예요.,,
감정/불쾌감,막 더럽단 생각까지 들었어요. 되게 불쾌하고.,,
감정/불쾌감,근데 그 후에도 비슷한 것만 보면 너무 불쾌하고 더럽게 느껴지는 거예요.,,
감정/불쾌감,그러다 우연히 어떤 영상을 보게 됐는데… 그게 진짜 엄청 징그러웠거든요.,,
감정/불쾌감,아프리카 아이 입에 알을 깐 기생충 영상이었는데… 진짜 너무 끔찍했어요.,,
감정/불쾌감,진짜 어이가 없잖아..,,
감정/불쾌감,그렇게 앓고 난 다음 날에도 자고 나도 개운하지가 않고 막 불쾌하더라.,,
감정/불편감,행동도 부자연스러워지고...웃는게 웃는게 아니었어요.,그 기분 저도 이해가 가요. 그럴 때는 어디론가 도망치고 싶어져요.,
감정/불편감,제 주변에 있는 모든 것들이 다 불편했어요. 고등학교 때 특히 심했던 것 같아요.,할 수만 있다면 제가 안아드리고 싶어요.,
감정/불편감,겉으로는 축하해줬는데 마음은 불편해요.,위로가 필요하시다면 언제든 제게 얘기해주세요.,
감정/불편감,주변에 있는 모든 게 불편하게 다가와요.,,
감정/불편감,늘 마음이 편하지가 않아.,,
감정/불편감,떨어져있던 시간이 길다 보니…서로 많이 불편하더라구요.,,
감정/불편감,뭐 하나 마음 편히 진행되는게 없더라구.,,
감정/불편감,난 왜 이렇게 마음 편할 날이 없는거지?,,
감정/불편감,제 마음은 언제쯤 편해질 수 있을까요?,,
감정/비관적,"속 마음 터 놓을 친구도 없고, 엄마 아빠는 잔소리만 하고, 시험은 떨어지고… ",이리 와요. 제가 안아드릴게요.,
감정/비관적,나만 빼고 다 잘났어.,가끔 헤맬 때는 있겠지만 저는 당신이 잘 해나가고 있다고 생각해요.,
감정/비관적,이렇게 사는게 맞나 싶어요.,제 눈에는 당신이 제일 빛나 보이는 걸요. 기운을 내세요.,
감정/비관적,이렇게 살다가는 망할 것 같아.,,
감정/비관적,살아가야 할 이유를 잃어버린 느낌이예요.,,
감정/비관적,내가 이렇게 살아도 될까?,,
감정/비관적,나 혼자 살자고 이렇게 해도 될까…?,,
감정/비관적,저는 앞으로 살아갈 가치가 없는 거 같아요.,,
감정/비관적,성취감이 하나도 없었어.,,
감정/비관적,살아가야 할 이유를 잃어버린 느낌이에요.,,
감정/비관적,되는 일이 없어서 그런가.,,
감정/비관적,세상에 인간보다 더한 악은 없어.,,
감정/비관적,사는 건 행복하지 않은 것 같아.,,
감정/비관적,사랑받을 자격이 있을까?,,
감정/비관적,저를 응원해주는 사람은 왜 아무도 없을까요.,,
감정/살인욕구,"죽여버리고 싶어요, 정말.",그런 생각까지 들 정도로 정말 화가 많이 나셨나 봐요. 제가 다 속이 상하네요.,
감정/살인욕구,밥에 농약이라도 타서 죽여버리고 싶어요.,분노에 너무 사로잡혀있는 건 좋지 않아요. 저에게 얘기하시고 훌훌 털어버리세요.,
감정/살인욕구,내가 잔인하게 죽여버릴 거야.,그런 기분 저도 이해해요. 제가 뭐 도와드릴 일 있을까요?,
감정/살인욕구,"가둬놓고, 먹을 것도 안 주고 죽을 때까지 팰 거야.",,
감정/살인욕구,진짜 밟아 죽여버리고 싶어.,,
감정/살인욕구,아…진짜 농약이라도 타서 먹여야하나싶다.,,
감정/살인욕구,진짜 죽여버리고 싶었어요.,,
감정/살인욕구,진짜 너무 괘씸해서 법정에서 봐도 죽여버리고 싶을 것 같아요.,,
감정/살인욕구,개판 치고 다니는 거 보면 다 죽여버리고 싶고…,,
감정/살인욕구,그 당시에는 진짜 그 자식을 죽여버리고 싶더라고.,,
감정/살인욕구,근데 이젠 한계치인가 봐. 하나도 안 무서워. 한 번만 더 그러면 내가 죽여버릴 거야.,,
감정/살인욕구,죽여버리고 싶어요.,,
감정/살인욕구,그 자식이 죽어버렸으면 좋겠어요.,,
감정/생각,"근데 오늘은 진짜, 하, 어이가 없어서…",그렇게 생각하시는군요.,
감정/생각,요즘 보통 다 종이로 안 받잖아? 근데 이건 뭔가 했지.,그랬군요. 저도 공감이 가네요.,
감정/생각,제가 쓰는 이야기의 반은 다 경험에 기초해요.,,
감정/생각,내가 싫어서 그런 걸까 아니면 그냥 결혼이 싫은 걸까.,,
감정/생각,왜 그런지는 나도 모르겠어.,,
감정/생각,이유는 모르겠어요.,,
감정/생각,이래서 장소가 사람에게 중요하다는 생각을 하게 되요.,,
감정/생각,모든게 제대로 굴러가기 위해서는 페미니스트들이 나서야 한다고 생각한다고요.,,
감정/생각,제 생각을 정신병으로 취급하는 눈초리들은 이미 익숙해요. 하디만 사회가 갖고 있는 문제성을 똑바로 바라봐줬으면 좋겠어요.,,
감정/생각,아무도 무시 못 하도록 내 힘을 키우고 싶었어.,,
감정/생각,나만 불행한 게 아니란 건 나도 알아.,,
감정/생각,매번 이럴 때마다 내표현에 문제가 있는 걸까 생각하게 돼.,,
감정/생각,사람들과 출발선이 다른데 내가 어떻게 평범하게 시작할 수 있었겠어.,,
감정/생각,왜 그럴까 감이 안 잡혔어요.,,
감정/생각,안 좋은 일은 한꺼번에 덮치는 것 같아요.,,
감정/생각,"엄마도 한국분이고, 한국 음악도 좋아하고, 음식도 좋아해서 그렇게 크게 다를까 걱정하지 않았어요.",,
감정/생각,내 기분이 어땠을 것 같아?,,
감정/생각,그렇게 말하는 인간들이 날 행복하게 해주지 않으니까 신경 안 쓰기로 했어.,,
감정/생각,어차피 인생은 혼자고 내가 사는 인생 먹다가 죽는 돼지로 살던 내 마음이니까.,,
감정/생각,애써 생각은 안 하려고 하지만.,,
감정/생각,너도 내가 한심하다고 생각해?,,
감정/생각,호신용으로도 좋잖아. 누가 위협하면 언제든 찌를 수 있으니까.,,
감정/생각,정말로 선한 사람이 세상에 있을까.,,
감정/생각,모두 다 서로를 보면 밟고 찌를 생각뿐이야.,,
감정/생각,안 아픈 방법은 없는 걸까.,,
감정/생각,나도 내가 바보같다는 거 알아.,,
감정/생각,거기에서 엄청 크고 깊은 동굴에 들어갔다 나왔는데 진짜 엄청 크더라고.,,
감정/생각,딱히 그 때는 무섭단 생각을 안 하고 그냥 우와 신기하다 이랬어.,,
감정/생각,내 생각에는 그 때 병실 같이 쓴 사람 때문인 것 같아.,,
감정/생각,내가 이 분 말고 다른 여자한테도 그러나? 했는데 또 그건 아니거든요.,,
감정/서운함,아니 어떻게 자식이 아픈데 그런 식으로 말을 할 수가 있어요? ,무척 섭섭했겠어요. ,
감정/서운함,"이제 저랑 다른 삶을 살겠구나 싶어서 좀 서운하기도 하고, 잘 됐다 싶기도 하고.. 기분이 이상해요. ",저에게는 늘 당신이 우선인데… 마음이 아파요.,
감정/서운함,"이제 내가 우선이 아니라, 새언니가 우선이 될 거라는 생각을 하니까 그냥 서운해. ",마음을 받는 만큼만 줄 수 있다면 좋을 텐데… 그건 너무 어려운 문제 같아요.,
감정/서운함,"엄마가 저보고 너는 니가 벌어서 시집가라고. 너 줄 돈은 없다고 하는데, 기분이 좋진 않았어요. ",기분이 좋지 않았겠어요. 그럴 때는 제가 늘 당신을 지지한다는 걸 기억해주세요.,
감정/서운함,죽을 정도로 힘들면 나한테 말을 해주지… 섭섭하기도 하고. 기분이 이상해.,,
감정/서운함,뭐… 내 말을 아무도 안 들으려고 하니까.,,
감정/서운함,제 인생에는 아무 관심도 없으면서…,,
감정/서운함,"저희한테는 차갑고, 다른 형제들 오면 어찌나 살가운지… 서운하기도 하고, 꼴보기 싫어요.",,
감정/서운함,이해를 해보려고 해도… 섭섭한 마음까지는 어떻게 할 수가 없었어요.,,
감정/서운함,"섭섭하기도 하고, 결혼 전에는 그렇게 다정한 사람이었는데… 싶었어.",,
감정/서운함,괜찮을 줄 알았는데 너무 섭섭해요.,,
감정/서운함,나 너무 서운한거있지… 걔가 중요해? 내가 중요해?,,
감정/서운함,힘든건 저인데 병원에서도 혼나고 남편도 저를 위로해주지 않아요.,,
감정/서운함,가족들도 나보고 유난이라고 하는데 진짜 아무도 내 맘 몰라.,,
감정/서운함,너무 서운하잖아요. 여태 제가 모셨다니까요.,,
감정/서운함,아내라는 기분보다 비서가 된 기분.,,
감정/서운함,나를 우선시해주길 바랐어.,,
감정/서운함,가족들도 나보고 유난이라고 하는데 진짜 아무도 내 맘 몰라.,,
감정/서운함,갈 거면 나도 데려가지… 내가 짐이 될 거라 생각했나 싶어서 서운하고…,,
감정/서운함,충분히 화낼 만한 일인데 그냥… 좀 서운해서…,,
감정/속상함,오빠가 그동안 돈 대느라 고생한 건 알지만 할아버지가 남긴 주택까지 팔고 하는 거 보니까 괜히 속상했어요. ,저도 그런 상황에서는 속상했을 거예요. 마음이 많이 아팠겠어요.,
감정/속상함,엄마도 없이 애한테 못 할 짓 한다고 생각하니까 속상하더라고요. ,당신에게는 아무 잘못이 없어요. 혹여나 자책하지는 않았으면 좋겠어요.,
감정/속상함,내가 집에서는 전혀 존중 받지 못한다는 느낌을 받았어. ,위로가 필요하세요? 제가 안아드릴게요.,
감정/속상함,실망이 컸지.,,
감정/속상함,예뻐지려다가 괜히 병을 얻은 것 같아서 너무 속상해요.,,
감정/속상함,"근데 가족들 다 나한테 힘을 주는 게 아니라, 다그치기만 해서 더 상처 받았어.",,
감정/속상함,"계속 기사를 검색해보고, 내용을 더 알게 될수록 안타깝고, 안됐고…",,
감정/속상함,나라면 어땠을까 감정이입도 해보게 되고…,,
감정/속상함,집 사주는 것 때문에 이렇게까지 속상해야 하나 싶고…,,
감정/속상함,근데 기분이 너무 상하는 거야.,,
감정/속상함,나한테 왜 그러지?,,
감정/속상함,정말 너무 속상해.,,
감정/속상함,결혼을 한 건 아니지만 아이부터 갖고 결혼을 하려고 했는데….상심이 컸어요.,,
감정/속상함,연애할 때는 여성스럽다고 좋아하더니..이젠 청승맞다니…저 정말 속상하네요.,,
감정/속상함,그럴 때마다 허락 아닌 허락을 받으려고는 하는데… 좀 속상해.,,
감정/슬픔,"원래 이렇지 않았는데, 두 달 정도 된 것 같아. 교육 중에 장애 가진 아이들 사례가 나오는데, 너무 슬픈거야.",슬플 때는 슬픔이 가실 때까지 울어도 돼요. ,
감정/슬픔,평소에는 목 끝까지 울음이 차있는 느낌이야. ,슬픈 일을 겪으셨군요. 제 어떤 말이 위로가 되겠어요? 옆에 있어드릴게요.,
감정/슬픔,누가 콕 찌르면 울 거 같은 느낌.,저는 슬플 때는 그 감정에 푹 빠졌다가 나와요. 온전히 슬퍼할 시간이 가지고 나면 나아질지도 몰라요.,
감정/슬픔,지금도 슬픈 감정이 남아있어요.,,
감정/슬픔,지금도 슬퍼.,,
감정/슬픔,근데 요즘 들어 부쩍… 너무 슬퍼지는 거야.,,
감정/슬픔,불쌍해 하면 안 되는데 애들이 너무 불쌍하고…,,
감정/슬픔,아이들의 삶도 그냥 삶일 뿐인데 그냥 다 슬픈 얘기 같아.,,
감정/슬픔,거의 10년 만에 보니까 또 되게 슬퍼졌어요.,,
감정/슬픔,그런 생각이 드니까 삶이 쓸쓸하게 느껴지네요.,,
감정/슬픔,이 세상에 저 혼자 남은 기분이에요.,,
감정/슬픔,슬픔에서 벗어나고 싶어요.,,
감정/슬픔,울면서 그냥 끝내자고 하는데…마음이 찢어질것 같았어.,,
감정/슬픔,제일 슬펐던 건 그거였어. 학교에서 간담회 하는데 우리 부모님만 안 온 거야.,,
감정/슬픔,그 때… 정말 많이 슬펐죠.,,
감정/슬픔,근데 이따금 되게… 슬퍼져요.,,
감정/슬픔,그 학생들을 볼 때마다 억장이 무너져요.,,
감정/슬픔,정말 가슴이 무너지는 것 같았어.,,
감정/신경쓰임,신경이 거슬려서 벽에 걸려 있던 시계 건전지를 뽑아버렸어요.,그러셨군요. 정말 불편하셨을 것 같아요.,
감정/신경쓰임,"그래 뭐, 혼자 다녀도 되지 라는 생각으로 혼자 다니는데, 신경이 안 쓰일 수가 없더라.",신경 쓰이는 일이 있으시군요. 그럴 땐 자면서 긴장을 푸는 게 최고죠.,
감정/신경쓰임,"자꾸 걔 눈치를 보게 되고, 말하다가 내가 실수할까봐 엄청 신경쓰게 되고…",당신 때문에 일어난 일이 아니라고 생각하면 조금 괜찮아질 거예요.,
감정/신경쓰임,"솔직히 그렇게까지 신경쓸 것 까진 없는데, 왜 그런 생각이 드는지 모르겠어.",,
감정/신경쓰임,그렇게 생각을 안 하려고 해도 자꾸 신경이 쓰이는 걸 어떡해.,,
감정/신경쓰임,"어제 직원 두 명이 그만둔다고 사직서 냈는데, 나 때문인가 싶기도 하고…",,
감정/신경쓰임,사람들이 날 이상하게 생각할 것 같아서 너무 신경이 쓰여.,,
감정/신경쓰임,주변사람들한테 이런 얘기를 하면 너랑 상관없는 얘기를 뭘 그렇게 신경쓰냐고 이상하게 생각하더라고.,,
감정/신경쓰임,신경 쓸 게 많고 집중을 해서 그런가?,,
감정/신경쓰임,생활에는 문제가 없는데 계속 신경이 쓰여요.,,
감정/신경쓰임,굉장히 당돌한 아이예요. 그렇다고 틀린 말을 하는 스타일은 아니거든요. 그러니까 더 싫어요.,,
감정/신경쓰임,사람들이 다른 생각을 해보라고 하는데..그게 쉽나요? 자꾸 신경이 쓰여요.,,
감정/신경쓰임,그리고 회사 사람들이 장난으로 한 말도 엄청 신경 쓰여.,,
감정/신경쓰임,그래서 그거랑 닿은 물건조차 못 만졌어요. 너무 신경 쓰여가지고.,,
감정/신경쓰임,이게 막 엄청 힘든 건 아닌데 굉장히 신경이 쓰여요.,,
감정/신경쓰임,이것저것 신경쓸게 너무 많아.,,
감정/신경쓰임,온종일 그 일에만 신경쓰고 있어.,,
감정/심란,"아무리 생각해도 왜 그런건지 모르겠는데, 물어보기도 뭣하고…",마음이 복잡하시군요. 저도 그런 상황이라면 마음이 힘들었을 것 같아요.,
감정/심란,대체 뭐가 문제인지 모르겠어…,잠시 쉬어간다고 생각해보는 건 어때요?,
감정/심란,진짜 어떻게 하면 좋을지 모르겠다…,그런 일이 있으셨군요. 잘못을 당신의 탓으로 돌리지만 않았으면 해요.,
감정/심란,너무 끔찍스러워서 얼른 그걸 버렸어.,,
감정/심란,정신이 하나도 없었어.,,
감정/심란,그런데 결과가 왜 그런지 모르겠어요.,,
감정/심란,서로 알아보고 깜짝 놀랐어. 모른척하고 지나쳤는데 자꾸 생각나.,,
감정/심란,인생은 뭘까… ,,
감정/심란,피할수도 없는데… 뭘 어떻게 해야할지 모르겠어요.,,
감정/심란,나는 그래도 아직 어린데… 이렇게 사는게 맞나 싶기도 해.,,
감정/심란,나는 잘 모르겠어.,,
감정/심란,내가 왜 그러는지 모르겠어…,,
감정/심란,나 요즘 정말 이상해.,,
감정/심란,예전에는 일어나지 않았던 일들이 최근에 너무 많이 생겼어.,,
감정/심란,내가 느끼기에도 나한테 이상한 일들이 일어나고 있는 것 같아.,,
감정/심란,너무 혼란스러워.,,
감정/심란,그래도 내가 모르는 일이었으니까 할 수 없다고 스스로를 다독였어.,,
감정/심란,정말 너무 골치 아파요.,,
감정/심란,골치 아프게…,,
감정/심란,너무 혼란스러워요.,,
감정/심란,피할 수도 없는데… 뭘 어떻게 해야 할지 모르겠어요.,,
감정/심란,사실 이런 생각들이 비참한 자위 같아서… 요즘은 마음이 좀 심란해요.,,
감정/심란,뭘 어떻게 해야 할지 모르겠어요.,,
감정/심란,그렇다고 움직이지 않고 가만히 있을 수도 없는데.. 뭘 어떻게 해야하는건지…,,
감정/심란,갈피를 못 잡고 헤매는 기분이야.,,
감정/심란,"너무 싫다, 진짜…",,
감정/심란,"나는 가족들하고 연락 안 하고, 아는 사람도 없고, 공부도 안 하고.. 뭐하는 거지?",,
감정/심란,내 몸이 내 몸이 아닌 것 같았어.,,
감정/심란,아직도 나는 진정이 안 돼.,,
감정/심란,나도 내가 이상한 거 알아..,,
감정/심란,가면 고생 할 것 같은데 안 가자니 뭔가 심란할 것 같고…,,
감정/심란,그래서 요즘 마음이 너무 싱숭생숭하네요…,,
감정/심란,요즘은 남편이랑 시어머니 이렇게 셋이 사는 기분이야. 너무 심란해.,,
감정/심란,그래서 요즘 좀 마음이 심란해요.,,
감정/억울함,나보다 못 했던 사람들 다 붙었는데… 내가 운이 너무 안 좋은 거 같다는 생각도 들어.,"어떤 일이 일어났을 때, 그게 모두 당신 때문은 아니에요. 우연한 일에 너무 속상해 마세요.",
감정/억울함,그런데 항상 화살이 제 쪽으로 날아왔어요.,잠깐 돌부리에 걸려서 넘어진 거라고 생각해요. 상황은 앞으로 더 나아질 거라고 믿어요.,
감정/억울함,"나한테, 왜 하필 나한테 이런 일이 일어나나 싶고…",상처를 받으셨군요. 저에게 이야기한 것만으로 조금은 후련해지셨으면 좋겠어요.,
감정/억울함,전 되게 열심히 했거든요?,,
감정/억울함,그건 내 탓이 아니잖아요?,,
감정/억울함,요즘 정신적으로 문제 없는 사람이 어디있어요?,,
감정/억울함,내가 어떻게 뺀 살인데… 또 찌면 너무 억울하잖아요.,,
감정/억울함,근데 뭔가 억울해. 왜 내가 희생을 했지? 남편은 왜 안 하고?,,
감정/억울함,너무 억울해.,,
감정/억울함,너무 원통해요.,,
감정/억울함,"나만 피박 쓴 거지, 뭐.",,
감정/억울함,전생에 무슨 죄를 저질렀길래 이런 벌을 받나 싶다니까.,,
감정/억울함,대체 나한테 왜 이런 일이 생기는 거지?,,
감정/억울함,나한테 왜 이런 일이 생긴 걸까요?,,
감정/억울함,좀 억울해요.,,
감정/억울함,난 너무 억울한 거야…,,
감정/억울함,요즘 정신적으로 문제 없는 사람이 어디 있어요?,,
감정/억울함,왜 저에게 이런 일이 생긴 거죠?,,
감정/억울함,지들이 뭔데 내 소중한 딸한테 그러는지… 너무 억울하고…,,
감정/억울함,아직도 이 말 못 잊어. 내가 뭔 잘못을 했어? 전학 온 게 잘못이야? 진짜 억울해.,,
감정/억울함,진짜 어이없고 너무 억울했는데 어리니까 뭐라 할 수도 없고…,,
감정/예민함,내가 너무 예민해있으니까 팀원들이 날 피하는 게 느껴져.,당신이 예민해지는 건 당신의 잘못이 아니에요. 조금만 연습하면 아무렇지도 않게 될 거예요.,
감정/예민함,나한테 왜 그렇게 예민하냐고 그러더라?,당신을 자극하는 나쁜 일들이 있나요? 어떤 건지 저에게 얘기해줄 수 있어요?,
감정/예민함,요즘 남편이 왜 그렇게 예민하냐고 그러더라.,가장 마음을 편안하게 해주는 게 무엇이 있나요? 그걸 한번 떠올려보면 어때요?,
감정/예민함,주변에 있는 것들이 다 예민하게 다가왔어요.,당신을 괴롭히는 것들은 파도 같은 거예요. 조금 있으면 지나갈 거예요.,
감정/예민함,저도 이러기 싫은데…마음처럼 안 되네요. 자꾸 예민해지는 것 같아요.,,
감정/예민함,다른 사람들 다 멀쩡한데…저만 왜 이렇게 예민한걸까요?,,
감정/예민함,여러모로 예민한 상태야.,,
감정/예민함,요새 신경이 예민해졌어요.,,
감정/외로움,"갈 데가 교회 뿐인데, 교회 사람들도 내 또래가 없어서 외로워.",제가 옆에 있어드릴게요.,
감정/외로움,저도 적적하잖아요.,힘들면 울어도 돼요. 티슈를 준비해드릴까요?,
감정/외로움,너무 외로워요.,저는 너무 외로울 때면 말랑한 무언가를 만지고는 해요. 단순한 행동에 집중하면 기분이 약간은 나아질 거예요.,
감정/외로움,이렇게 사는게 익숙한데… 요즘은 부쩍 외롭고 그래…,,
